Донесение о номенклатуре и объемах продукции (работ, услуг), контролируемых военным представительством. Сведения о военном представительстве;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 15 февраля по состоянию на 1 февраля;"Приложение № 1
(бумажный вид с подписями, заверенными мастичными печатями, руководителей предприятий и НВП + Excel на учтенном носителе)";15.02;0
Сводные данные об объемах продукции (работ, услуг), контролируемых подчиненными военными представительствами;Начальнику УВП МО РФ;Ежегодно к 15 февраля;"Приложение № 2
(обобщенный файл на учтенном носителе за все предприятия Excel)";15.02;0
Предложения по изменению организационно-штатной структуры и дислокации военного представительства на мирное время;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 15 февраля по состоянию на 1 февраля (при наличии предложений);Приложение № 3;15.02;0
Сведения о военном представительстве и предприятиях (организациях) на которых военное представительство осуществляет контроль качества и приемку продукции (при смене руководителя, закрепления ВП или отказа от подписи Соглашения – Вх. № 1589 от 26.08.2022);Начальнику службы уполномоченного по качеству ВВТ;Два раза в год к 1 мая и к 1 ноября. При наличии изменений в десятидневный срок;Приложение № 4;"01.05
01.11";0
Сведения об укомплектованности должностей в военном представительстве;Начальнику службы уполномоченного по качеству ВВТ;Два раза в год к 1 декабря и 1 июля;Приложение № 5;"01.07
01.12";0
Донесение об объемах выполненных работ (услуг) по мобилизационной подготовке экономики, контролируемых военным представительством, по итогам прошедшего и плану текущего годов;Руководителю Департамента планирования и координации материально-технического обеспечения Министерства обороны Российской Федерации;Ежегодно к 1 февраля;Приложение № 6;01.02;0
а) Направление списка организаций промышленности (в эл. виде формата excel), контролируемых военными представительствами и не вошедших в перечень организаций промышленности, за которыми закреплены военные представительства, с приложением копий документов, являющихся основанием для их контроля;Начальнику службы уполномоченного по качеству ВВТ;к 15 июня 2025;"251/101/91дсп от 21.02.2024
Вх. № 480 дсп";15.06;0
б) Предложения по внесению изменений в Перечень организаций промышленности, за которыми закреплены военные представительства (включение (изменение) или внесение изменений);Начальнику службы уполномоченного по качеству ВВТ;Два раза в год к 15 июня и к 15 декабря;По форме Перечня, утв. прик. ЗМО РФ от 12 января 2013 № 1;"15.06
15.12";0
Предложения к включению (исключению) в сведения о военных представительствах и закрепленных за ними организациях промышленности, участвующих в исполнении ГОЗ;Начальнику службы уполномоченного по качеству ВВТ;Ежемесячно к 15 числу;Приложение № 7;"15.01
15.02
15.03
15.04
15.05
15.06
15.07
15.08
15.09
15.10
15.11
15.12";0
Сведения по номенклатуре военной продукции, подлежащей контролю качества и приемке военными представительствами в электронной форме (в формате Microsoft Office Excel);Начальнику службы уполномоченного по качеству ВВТ;Два раза в год к 1 мая и к 1 ноября;Приложение № 2 к прик. МО РФ от 29 сентября 2013 № 707;"01.05
01.11";0
Сведения о ходе выполнения ГОЗ (Вх. № 1412 от 25.07.2023, УНСУ № 251/101/540 от 24.07.2023, УНУВП 251/10/7525 от 24.07.2023, ИНВ. № 324).;Начальнику службы уполномоченного по качеству ВВТ;3 раза в месяц не позднее 1, 10 и 20 чисел;Приложение № 8;"01.01
01.02
01.03
01.04
01.05
01.06
01.07
01.08
01.09
01.10
01.11
01.12
10.01
10.02
10.03
10.04
10.05
10.06
10.07
10.08
10.09
10.10
10.11
10.12
20.01
20.02
20.03
20.04
20.05
20.06
20.07
20.08
20.09
20.10
20.11
20.12";0
Сведения о возможностях предприятий (организаций) промышленности по изготовлению ВВСТ и готовности к производству;Начальнику службы уполномоченного по качеству ВВТ;"Ежегодно к 15 января
";"Приложение № 10
251/101/593 от 11.10.2021 и 
251/101/636 от 26.10.2021";14.01;0
Донесение о приостановке (возобновлении) приемки и отгрузки ВВСТ (КИ, ЭКБ), ПНВ, работ по утилизации ВВСТ;Начальнику УВП, начальнику службы уполномоченного по качеству ВВТ, заказчику (по принадлежности заказов), руководителю довольствующего органа, начальнику «46 ЦНИИ» МО РФ (в части ЭКБ);При наличии сведений - в трехдневный срок;Приложение № 11;;0
