101/449;1 БВС и 1 ПП;;Ежемесячно к 5 числу;;;0;1
50;Обобщенные сведения о преступлениях (происшествиях), причинах гибели и травматизма;;Ежемесячно к 1 числу;По формам №№ 1/ПП, 1/БВС, 9/СВ;;0;1
54;Сведения о расмотренных в судах жалобах и исковых заявлениях на действия должностных лиц МО РФ;;Ежемесячно к 1 числу;Приложение №37;;0;1
8;Предложения к включению (исключению) в сведения о ВП и закрепленных за ними организациях проммышленности, участвующих в исполнении ГОЗ;;Ежемесячно к 15 числу;Приложение №7;;0;1
101/791;по вакцинации таблицу;101СУ;к 1 числу;;01.01.2026;0;1
;выезд;101СУ;к 1 числу;;01.01.2026;0;1
101/126;по плану перемещения ежеквартально (м);101СУ;к 1 числу;;01.01.2026;0;1
101/331;по плану увольнения ежеквартально;101СУ;к 3 числу;;03.01.2026;0;1
43.1;Сведения о ходе выполнения НИОКР по работам, номенклатурно включенным в ГОЗ;101СУ;к 1 числу;Приложение №32;01.01.2026;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.01.2026;0;1
101/722 от 21,12,25;по приостановкам;101СУ;к 10 числу;рапортом;10.01.2026;0;1
39 от 2024г;дополнения в график по аттестации (если не вкючены ранее) ежегодно;101СУ;к 15 числу;;15.01.2026;0;1
12;по ук 101/636 от 26.10.2021г. Сведения о возможностях предприятий (организаций) промышленности по изготовлению ВВСТ и готовности к производству;101СУ;к 15 числу;Exel;15.01.2026;0;1
12;Сведения о возможностях предприятий (организаций) промышленности по изготовлению ВВСТ и готовности к производству;101СУ;к 5 числу;Приложение №10;05.01.2026;0;1
43.2;Сведения о ходе выполнения НИОКР по всей номенклатуре;101СУ;к 10 числу;Приложение №32;10.01.2026;0;1
175 приказ 17.10.22;по БДД ежемесячно нарушители;101СУ;к 30 числу;;30.01.2026;0;1
14;Сведения о качестве ВВСТ, поставляемых МО РФ предприятиями (организациями) промышленности;101СУ;к 15 числу;Приложение №12;15.01.2026;0;1
20;Сведения о подтверждении соответствия СМК предприятий (организаций) промышленности, за которыми закреплено ВП, а также их продукции (работ, услуг);101СУ;к 15 числу;Приложение №17;15.01.2026;0;1
27;Донесение о наличии ВВСТ, находящихся на ответственном хранени, а также используемых при проведении НИОКР;101СУ;к 25 числу;Приложение №24;25.01.2026;0;1
42;Сведения о наличии и движении ВВСТ, прибывших на предприятие для проведения капитального ремонта;101СУ;к 25 числу;Приложение №31;25.01.2026;0;1
101/334;по п. 8 ТСД ежемесячно изменения предприятий;101СУ;к 15 числу;;15.01.2026;0;1
46;Доклад о состоянии ЗГТ и результатах проверки наличия ОВ, СС и С носителей информации;101СУ;к 1 числу;По ф. 1/ЗГТ;01.02.2026;0;1
6;Донесение об объемах выполненных работ (услуг) по моб. подготовке экономик, контролируемых ВП, по итогам прошедшего и плану текущего годов;101СУ;к 1 числу;Приложение №6;01.02.2026;0;1
85дсп 2024г;Инвентаризация ЕИС ГОЗ;101СУ;к 5 числу;;05.02.2026;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.02.2026;0;1
1;Донесение о номенклатуре и объемах продукции (работ, услуг), контрольруемых ВП, по итогам прошедшего и плану текущего года;101СУ;к 15 числу;Приложение №1;15.02.2026;0;1
61дсп;по выбытию МЦ ежем;101СУ;к 10 числу;;10.02.2026;0;1
101/75дцп 2025;Инвенаризация ЕИС ГОЗ;101СУ;к 10 числу;;10.02.2026;0;1
101/272;46 ЦНИИ;101СУ;к 1 числу;;01.02.2026;0;1
175 приказ 17.10.22;по БДД ежемесячно нарушители;101СУ;к 30 числу;;28.02.2026;0;1
3;Предложения по изменению организационно-штатной структуры и дислокации ВП на мирное время;101СУ;к 15 числу;Приложение №3;15.02.2026;0;1
101/84 от 25;по 1% ук 251/1/1129 увп;101СУ;к 1 числу;;01.03.2026;0;1
101/482д от 24;представить предложения по перемещению на 25 год;101СУ;к 1 числу;;01.03.2026;0;1
26;Донесение по учету материальных средств (ОО, макетов и т.д.), созданных в ходе выполнения НИОКР по ГК;101СУ;к 1 числу;Приложение №23;01.03.2026;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.03.2026;0;1
67;Сведения о численности работников;101СУ;к 10 числу;Приложение №46;10.03.2026;0;1
57;Сведения о фактической численности военных специалистов, повысивших квалификацию (прошедших профессиональную переподготовку);101СУ;к 15 числу;Приложение №39;15.03.2026;0;1
61дсп;по выбытию МЦ ежем;101СУ;к 10 числу;;10.03.2026;0;1
88 от 2024г;Таблицы для прок ежеквартально;101СУ;к 10 числу;;10.03.2026;0;1
101/480;по увольнению обеспеченных жильём;101СУ;к 10 числу;;10.03.2026;0;1
101/566;;101СУ;;;;0;1
101/76 дцп;доклад по згд о выполнении;101СУ;к 24 числу;;24.03.2026;0;1
101/74;По дебиторке;101СУ;к 27 числу;;27.03.2026;0;1
175 приказ 17.10.22;по БДД ежемесячно нарушители;101СУ;к 30 числу;;30.03.2026;0;1
101/578 от 24 года (336 от20 года);по движению МЦ (ежеквартально);101СУ;25 числа;;25.03.2026;0;1
101/203д;акт учета л/с в 101 ежегодно по ук 251/7/3246дсп от 31.03.21;101СУ;к 30 числу;;30.03.2026;0;1
101/791;по вакцинации таблицу;101СУ;к 1 числу;;01.03.2026;0;1
101/334;по п. 8 ТСД ежемесячно изменения предприятий;101СУ;к 15 числу;;15.03.2026;0;1
101/274 (22);перепроверки по МОБ;101СУ;к 1 числу;;01.04.2026;0;1
101/844;Бурьян конфликт;101СУ;к 1 числу;;01.04.2026;0;1
101/791;по вакцинации таблицу;101СУ;к 1 числу;;01.04.2026;0;1
101/289;личные данные и командировки (304 и 342);101СУ;к 1 числу;;01.04.2026;0;1
101/126;по плану перемещения ежеквартально (м);101СУ;к 1 числу;;01.04.2026;0;1
101/201;ОТМЕНЕНО;101СУ;к 1 числу;;01.04.2026;0;1
70;Сведения о военнослужащих и лицах ГП, выезжавших из РФ в отчетном периоде;101СУ;к 1 числу;Приложение №49;01.04.2026;0;1
71;Сведения об оформлении военнослужащими и лицами ГП служебных, заграничных и дипломатических паспортов в ГУК МО РФ, штабах ВО, а также в МВД России (за отчетный квартал);101СУ;к 1 числу;Приложение №50;01.04.2026;0;1
43.1;Сведения о ходе выполнения НИОКР по работам, номенклатурно включенным в ГОЗ;101СУ;к 1 числу;Приложение №32;01.04.2026;0;1
62;Доклад об окончании и результатах представления сведений о своих доходах, об имуществе и обязательствах имущественного характера, а также своих супруги (супруга) и несовершеннолетних детей;101СУ;к 1 числу;По форме, размещенной на оф. сайте МО РФ;01.04.2026;0;1
63;Табличные формы обработанных сведений о своих доходах, об имуществе и обязательствах имущественного характера, а также своих супруги (супруга) и несовершеннолетних детей (на бумажных и электронных носителях) для размещения на оф. сайте;101СУ;к 1 числу;По форме, размещенной на оф. сайте МО РФ;01.04.2026;0;1
101/331;по плану увольнения ежеквартально;101СУ;к 3 числу;;03.04.2026;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.04.2026;0;1
12;Сведения о возможностях предприятий (организаций) промышленности по изготовлению ВВСТ и готовности к производству;101СУ;к 5 числу;Приложение №10;05.04.2026;0;1
